,zone,idle_suuply1500,served_1500,denied1500,total_demand1500,denied_rate1500,idle_suuply2000,served_2000,denied2000,total_demand2000,denied_rate2000,idle_suuply2500,served_2500,denied2500,total_demand2500,denied_rate2500,idle_suuply3000,served_3000,denied3000,total_demand3000,denied_rate3000,idle_suuply3500,served_3500,denied3500,total_demand3500,denied_rate3500,idle_suuply4000,served_4000,denied4000,total_demand4000,denied_rate4000
32,50,0.0,327.0,260.0,637.0,0.40816262454847013,16.0,484.0,106.0,637.0,0.16640476231591475,45.0,550.0,38.0,637.0,0.05965453743400717,64.0,575.0,19.0,637.0,0.029827268717003586,181.0,602.0,0.0,637.0,0.0,265.0,594.0,0.0,637.0,0.0
33,151,0.0,317.0,279.0,653.0,0.42725815121263216,4.0,416.0,180.0,653.0,0.27565042013718205,21.0,522.0,83.0,653.0,0.1271054715077006,20.0,539.0,52.0,653.0,0.07963234359518592,139.0,608.0,0.0,653.0,0.0,149.0,610.0,0.0,653.0,0.0
34,249,0.0,425.0,289.0,770.0,0.3753241878906651,8.0,532.0,187.0,770.0,0.24285682745866566,8.0,654.0,68.0,770.0,0.08831157362133296,98.0,688.0,37.0,770.0,0.04805188564690176,107.0,711.0,2.0,770.0,0.0025973992241568517,273.0,733.0,1.0,770.0,0.0012986996120784259
35,13,0.0,278.0,316.0,645.0,0.48992172105159526,0.0,378.0,205.0,645.0,0.3178289646062564,16.0,488.0,110.0,645.0,0.1705423712521376,12.0,479.0,122.0,645.0,0.18914699357055262,49.0,555.0,41.0,645.0,0.0635657929212513,112.0,538.0,57.0,645.0,0.0883719560124713
36,231,0.0,388.0,343.0,789.0,0.43472695218383756,0.0,485.0,234.0,789.0,0.29657757087760345,2.0,572.0,149.0,789.0,0.1888464019690723,23.0,652.0,71.0,789.0,0.0899872116765378,67.0,703.0,34.0,789.0,0.04309246756341247,168.0,732.0,11.0,789.0,0.013941680682280504
37,113,0.0,431.0,355.0,856.0,0.4147191416832457,2.0,633.0,158.0,856.0,0.1845792236224023,26.0,743.0,54.0,856.0,0.0630840384532261,62.0,759.0,30.0,856.0,0.03504668802957006,161.0,791.0,20.0,856.0,0.02336445868638004,299.0,800.0,10.0,856.0,0.01168222934319002
38,233,0.0,489.0,374.0,949.0,0.39409863635549386,0.0,688.0,190.0,949.0,0.20021053718594606,35.0,842.0,45.0,949.0,0.04741828512298723,76.0,855.0,22.0,949.0,0.023182272726793754,223.0,887.0,0.0,949.0,0.0,397.0,897.0,0.0,949.0,0.0
39,90,0.0,516.0,374.0,979.0,0.38202208169348145,0.0,700.0,205.0,979.0,0.20939713034000987,25.0,806.0,89.0,979.0,0.09090899805005306,105.0,874.0,23.0,979.0,0.023493336574732814,254.0,917.0,0.0,979.0,0.0,346.0,928.0,0.0,979.0,0.0
40,143,0.0,484.0,385.0,935.0,0.4117642654927642,7.0,700.0,178.0,935.0,0.19037412794210914,51.0,815.0,52.0,935.0,0.05561491378084088,84.0,857.0,22.0,935.0,0.023529386599586526,211.0,855.0,25.0,935.0,0.02673793931771196,375.0,893.0,0.0,935.0,0.0
41,79,0.0,541.0,390.0,998.0,0.39078117156195236,0.0,687.0,246.0,998.0,0.2464927389852315,3.0,793.0,137.0,998.0,0.13727441154868583,84.0,902.0,31.0,998.0,0.03106209312415519,223.0,944.0,0.0,998.0,0.0,378.0,940.0,1.0,998.0,0.001002003004005006
42,68,0.0,652.0,403.0,1148.0,0.3510449903789282,0.0,884.0,176.0,1148.0,0.15330997098434584,106.0,1012.0,41.0,1148.0,0.035714254604307834,209.0,1042.0,35.0,1148.0,0.030487778320750593,262.0,1084.0,0.0,1148.0,0.0,468.0,1079.0,0.0,1148.0,0.0
43,164,0.0,595.0,414.0,1092.0,0.37912053194090484,22.0,858.0,150.0,1092.0,0.1373625115727916,73.0,996.0,38.0,1092.0,0.034798502931773875,238.0,1036.0,1.0,1092.0,0.000915750077151944,351.0,1036.0,0.0,1092.0,0.0,440.0,1047.0,0.0,1092.0,0.0
44,163,0.0,725.0,417.0,1244.0,0.3352087337550372,5.0,907.0,242.0,1244.0,0.19453360568038128,11.0,1105.0,54.0,1244.0,0.04340832523446524,114.0,1174.0,12.0,1244.0,0.009646294496547832,249.0,1168.0,10.0,1244.0,0.008038578747123194,515.0,1195.0,0.0,1244.0,0.0
45,234,0.0,656.0,445.0,1213.0,0.36685872476609666,0.0,858.0,248.0,1213.0,0.2044516039145887,56.0,1066.0,68.0,1213.0,0.05605931075077432,161.0,1120.0,13.0,1213.0,0.01071722117294215,361.0,1137.0,0.0,1213.0,0.0,481.0,1145.0,0.0,1213.0,0.0
46,262,0.0,648.0,491.0,1259.0,0.38999174742514103,1.0,894.0,242.0,1259.0,0.19221589180628132,11.0,1084.0,66.0,1259.0,0.05242251594716764,82.0,1115.0,31.0,1259.0,0.024622696884275708,188.0,1158.0,17.0,1259.0,0.013502769259118936,448.0,1176.0,0.0,1259.0,0.0
47,229,0.0,773.0,524.0,1422.0,0.3684948182174274,14.0,988.0,327.0,1422.0,0.22995764419293657,32.0,1245.0,69.0,1422.0,0.04852317262786735,291.0,1340.0,0.0,1422.0,0.0,496.0,1335.0,0.0,1422.0,0.0,579.0,1348.0,0.0,1422.0,0.0
48,230,0.0,687.0,526.0,1313.0,0.40060898658873834,11.0,1000.0,206.0,1313.0,0.1568924928465401,58.0,1138.0,101.0,1313.0,0.07692301833738131,368.0,1245.0,0.0,1313.0,0.0,437.0,1231.0,7.0,1313.0,0.005331298300610586,594.0,1268.0,0.0,1313.0,0.0
49,142,0.0,860.0,530.0,1520.0,0.34868398112895976,0.0,1071.0,308.0,1520.0,0.2026314456372068,43.0,1320.0,95.0,1520.0,0.062499958881606,275.0,1426.0,0.0,1520.0,0.0,553.0,1444.0,0.0,1520.0,0.0,605.0,1440.0,0.0,1520.0,0.0
50,100,0.0,1068.0,556.0,1818.0,0.3058304148347553,0.0,1363.0,272.0,1818.0,0.14961487919973643,184.0,1653.0,20.0,1818.0,0.011001094058804149,446.0,1664.0,0.0,1818.0,0.0,699.0,1655.0,3.0,1818.0,0.0016501641088206222,766.0,1672.0,0.0,1818.0,0.0
51,263,0.0,704.0,579.0,1404.0,0.41239286866604796,0.0,952.0,318.0,1404.0,0.22649556517409888,70.0,1199.0,85.0,1404.0,0.0605412674207497,188.0,1273.0,35.0,1404.0,0.024928757173249876,434.0,1307.0,0.0,1404.0,0.0,521.0,1317.0,0.0,1404.0,0.0
52,107,0.0,723.0,588.0,1424.0,0.4129210583419534,7.0,1113.0,209.0,1424.0,0.14676955985283718,118.0,1242.0,75.0,1424.0,0.05266850233953487,287.0,1322.0,4.0,1424.0,0.00280898679144186,423.0,1333.0,0.0,1424.0,0.0,579.0,1336.0,0.0,1424.0,0.0
53,161,0.0,969.0,607.0,1745.0,0.34785080352389486,26.0,1296.0,305.0,1745.0,0.1747850001232091,61.0,1568.0,39.0,1745.0,0.022349557392803785,422.0,1660.0,0.0,1745.0,0.0,624.0,1647.0,0.0,1745.0,0.0,716.0,1625.0,0.0,1745.0,0.0
54,140,0.0,866.0,620.0,1602.0,0.3870159881298451,0.0,1125.0,350.0,1602.0,0.2184767674926545,45.0,1349.0,147.0,1602.0,0.09176024234691489,198.0,1481.0,41.0,1602.0,0.02559299276342524,484.0,1520.0,0.0,1602.0,0.0,673.0,1516.0,0.0,1602.0,0.0
55,239,0.0,871.0,636.0,1622.0,0.3921082662711059,10.0,1062.0,423.0,1622.0,0.26078898841616005,21.0,1370.0,142.0,1622.0,0.08754618523663056,84.0,1468.0,42.0,1622.0,0.02589394211224284,418.0,1556.0,0.0,1622.0,0.0,619.0,1548.0,0.0,1622.0,0.0
56,48,0.0,1049.0,647.0,1883.0,0.34360045480591883,17.0,1408.0,291.0,1883.0,0.15454054458813352,129.0,1690.0,52.0,1883.0,0.027615492503721452,550.0,1734.0,0.0,1883.0,0.0,585.0,1758.0,0.0,1883.0,0.0,833.0,1737.0,0.0,1883.0,0.0
57,238,0.0,739.0,659.0,1503.0,0.4384561287717041,8.0,1034.0,341.0,1503.0,0.2268794232339167,22.0,1168.0,226.0,1503.0,0.15036583475327028,119.0,1369.0,30.0,1503.0,0.019960066560168622,423.0,1423.0,0.0,1503.0,0.0,616.0,1408.0,0.0,1503.0,0.0
58,162,0.0,1113.0,685.0,1945.0,0.3521849089023605,0.0,1481.0,303.0,1945.0,0.15578398160206602,59.0,1755.0,51.0,1945.0,0.026221066210248736,312.0,1853.0,0.0,1945.0,0.0,729.0,1847.0,0.0,1945.0,0.0,845.0,1861.0,0.0,1945.0,0.0
59,141,0.0,944.0,737.0,1839.0,0.4007610653827812,0.0,1367.0,323.0,1839.0,0.1756388386955744,43.0,1585.0,114.0,1839.0,0.061990178363143904,184.0,1715.0,0.0,1839.0,0.0,609.0,1724.0,0.0,1839.0,0.0,825.0,1726.0,0.0,1839.0,0.0
60,170,0.0,1211.0,832.0,2221.0,0.37460586465291995,17.0,1596.0,441.0,2221.0,0.19855911816338667,74.0,1950.0,107.0,2221.0,0.0481764753820462,724.0,2104.0,0.0,2221.0,0.0,702.0,2095.0,0.0,2221.0,0.0,980.0,2107.0,0.0,2221.0,0.0
61,237,0.0,1329.0,867.0,2392.0,0.3624580424506511,0.0,1725.0,490.0,2392.0,0.20484941268837262,73.0,2162.0,79.0,2392.0,0.0330267420456764,199.0,2284.0,0.0,2392.0,0.0,717.0,2260.0,0.0,2392.0,0.0,1102.0,2276.0,0.0,2392.0,0.0
62,186,0.0,1552.0,989.0,2854.0,0.3465310628832996,64.0,2043.0,492.0,2854.0,0.17238956818865864,204.0,2539.0,29.0,2854.0,0.01016117373469736,879.0,2615.0,0.0,2854.0,0.0,1049.0,2612.0,0.0,2854.0,0.0,1231.0,2601.0,0.0,2854.0,0.0
63,236,0.0,1451.0,1127.0,2816.0,0.40021292606075065,0.0,1946.0,633.0,2816.0,0.2247868519933054,38.0,2379.0,184.0,2816.0,0.0653408858874695,335.0,2614.0,34.0,2816.0,0.012073859348771537,926.0,2689.0,0.0,2816.0,0.0,1140.0,2677.0,0.0,2816.0,0.0
