,,0,1,2,3,4
91.0,137,99.0,0.0,10.0,44.0,0.18518518518518517
91.0,12,1.0,0.0,0.0,1.0,0.0
91.0,13,67.0,0.0,2.0,16.0,0.1111111111111111
91.0,140,103.0,0.0,8.0,63.0,0.11267605633802817
91.0,141,138.0,0.0,10.0,63.0,0.136986301369863
91.0,142,124.0,0.0,7.0,67.0,0.0945945945945946
91.0,143,63.0,0.0,8.0,34.0,0.19047619047619047
91.0,144,11.0,0.0,1.0,1.0,0.5
91.0,148,31.0,0.0,1.0,18.0,0.05263157894736842
91.0,151,49.0,0.0,4.0,25.0,0.13793103448275862
91.0,24,20.0,0.0,1.0,9.0,0.1
91.0,152,10.0,0.0,2.0,5.0,0.2857142857142857
91.0,158,31.0,0.0,4.0,10.0,0.2857142857142857
91.0,161,95.0,0.0,8.0,48.0,0.14285714285714285
91.0,162,162.0,0.0,10.0,86.0,0.10416666666666667
91.0,163,72.0,0.0,3.0,35.0,0.07894736842105263
91.0,164,61.0,0.0,3.0,34.0,0.08108108108108109
91.0,166,28.0,0.0,0.0,22.0,0.0
91.0,41,39.0,0.0,1.0,21.0,0.045454545454545456
91.0,42,20.0,0.0,1.0,9.0,0.1
91.0,43,30.0,0.0,6.0,10.0,0.375
91.0,170,159.0,0.0,15.0,86.0,0.1485148514851485
91.0,45,4.0,0.0,0.0,3.0,0.0
91.0,48,172.0,0.0,6.0,84.0,0.06666666666666667
91.0,50,49.0,0.0,2.0,27.0,0.06896551724137931
91.0,186,319.0,0.0,16.0,160.0,0.09090909090909091
91.0,194,0.0,0.0,0.0,0.0,0.0
91.0,68,101.0,0.0,3.0,47.0,0.06
91.0,74,44.0,0.0,1.0,19.0,0.05
91.0,75,60.0,0.0,5.0,31.0,0.1388888888888889
91.0,79,91.0,0.0,11.0,52.0,0.1746031746031746
91.0,209,4.0,0.0,0.0,1.0,0.0
91.0,211,7.0,0.0,0.0,3.0,0.0
91.0,87,37.0,0.0,2.0,10.0,0.16666666666666666
91.0,88,23.0,0.0,0.0,10.0,0.0
91.0,90,86.0,0.0,10.0,46.0,0.17857142857142858
91.0,224,39.0,0.0,3.0,25.0,0.10714285714285714
91.0,100,232.0,0.0,23.0,112.0,0.17037037037037037
91.0,229,115.0,0.0,9.0,59.0,0.1323529411764706
91.0,230,63.0,0.0,6.0,26.0,0.1875
91.0,231,70.0,0.0,9.0,23.0,0.28125
91.0,232,0.0,0.0,0.0,0.0,0.0
91.0,233,62.0,0.0,5.0,29.0,0.14705882352941177
91.0,234,91.0,0.0,4.0,56.0,0.06666666666666667
91.0,107,153.0,0.0,6.0,76.0,0.07317073170731707
91.0,236,197.0,0.0,12.0,94.0,0.11320754716981132
91.0,237,147.0,0.0,5.0,79.0,0.05952380952380952
91.0,238,116.0,0.0,6.0,66.0,0.08333333333333333
91.0,239,104.0,0.0,7.0,53.0,0.11666666666666667
91.0,113,63.0,0.0,5.0,26.0,0.16129032258064516
91.0,114,23.0,0.0,2.0,12.0,0.14285714285714285
91.0,243,2.0,0.0,0.0,2.0,0.0
91.0,116,16.0,0.0,0.0,6.0,0.0
91.0,244,15.0,0.0,1.0,10.0,0.09090909090909091
91.0,246,34.0,0.0,2.0,23.0,0.08
91.0,120,0.0,0.0,0.0,0.0,0.0
91.0,249,69.0,0.0,5.0,25.0,0.16666666666666666
91.0,125,17.0,0.0,1.0,9.0,0.1
91.0,127,0.0,0.0,0.0,0.0,0.0
92.0,128,0.0,0.0,0.0,0.0,0.0
92.0,4,14.0,0.0,0.0,10.0,0.0
92.0,261,15.0,0.0,0.0,6.0,0.0
92.0,262,143.0,0.0,15.0,65.0,0.1875
92.0,263,125.0,0.0,8.0,63.0,0.11267605633802817
92.0,137,88.0,0.0,11.0,43.0,0.2037037037037037
92.0,12,1.0,0.0,0.0,1.0,0.0
92.0,13,62.0,0.0,4.0,14.0,0.2222222222222222
92.0,140,93.0,0.0,8.0,63.0,0.11267605633802817
92.0,141,120.0,0.0,17.0,56.0,0.2328767123287671
92.0,142,108.0,0.0,13.0,61.0,0.17567567567567569
92.0,143,60.0,0.0,3.0,39.0,0.07142857142857142
92.0,144,10.0,0.0,1.0,1.0,0.5
92.0,148,31.0,0.0,0.0,19.0,0.0
92.0,151,47.0,0.0,2.0,27.0,0.06896551724137931
92.0,24,19.0,0.0,1.0,9.0,0.1
92.0,152,10.0,0.0,0.0,7.0,0.0
92.0,158,31.0,0.0,0.0,14.0,0.0
92.0,161,86.0,0.0,8.0,48.0,0.14285714285714285
92.0,162,145.0,0.0,14.0,82.0,0.14583333333333334
92.0,163,63.0,0.0,8.0,30.0,0.21052631578947367
92.0,164,56.0,0.0,5.0,32.0,0.13513513513513514
92.0,166,26.0,0.0,1.0,21.0,0.045454545454545456
92.0,41,35.0,0.0,4.0,18.0,0.18181818181818182
92.0,42,19.0,0.0,1.0,9.0,0.1
92.0,43,29.0,0.0,1.0,15.0,0.0625
92.0,170,143.0,0.0,14.0,87.0,0.13861386138613863
92.0,45,4.0,0.0,0.0,3.0,0.0
92.0,48,157.0,0.0,14.0,76.0,0.15555555555555556
92.0,50,44.0,0.0,4.0,25.0,0.13793103448275862
92.0,186,294.0,0.0,23.0,153.0,0.13068181818181818
92.0,194,0.0,0.0,0.0,0.0,0.0
92.0,68,92.0,0.0,8.0,42.0,0.16
92.0,74,42.0,0.0,2.0,18.0,0.1
92.0,75,53.0,0.0,6.0,30.0,0.16666666666666666
92.0,79,84.0,0.0,6.0,57.0,0.09523809523809523
92.0,209,4.0,0.0,0.0,1.0,0.0
92.0,211,6.0,0.0,1.0,2.0,0.3333333333333333
92.0,87,35.0,0.0,2.0,10.0,0.16666666666666666
92.0,88,22.0,0.0,0.0,10.0,0.0
92.0,90,82.0,0.0,3.0,53.0,0.05357142857142857
92.0,224,38.0,0.0,1.0,27.0,0.03571428571428571
92.0,100,213.0,0.0,17.0,118.0,0.1259259259259259
92.0,229,111.0,0.0,4.0,64.0,0.058823529411764705
92.0,230,60.0,0.0,3.0,29.0,0.09375
92.0,231,63.0,0.0,7.0,25.0,0.21875
92.0,232,0.0,0.0,0.0,0.0,0.0
92.0,233,57.0,0.0,4.0,30.0,0.11764705882352941
92.0,234,86.0,0.0,5.0,55.0,0.08333333333333333
92.0,107,133.0,0.0,18.0,64.0,0.21951219512195122
92.0,236,183.0,0.0,13.0,93.0,0.12264150943396226
92.0,237,140.0,0.0,7.0,77.0,0.08333333333333333
