,,w,u,total_demand,served,un_served_demand,denied,los
30.0,162,10.0,19.0,87.0,97.0,-10.0,0.0,1.1149425287356323
30.0,163,8.0,8.0,22.0,14.0,8.0,0.0,0.6363636363636364
30.0,164,0.0,5.0,26.0,30.0,-4.0,0.0,1.1538461538461537
30.0,166,2.0,0.0,4.0,6.0,-2.0,0.0,1.5
30.0,41,2.0,0.0,12.0,8.0,4.0,6.0,0.6666666666666666
30.0,42,2.0,0.0,6.0,4.0,2.0,5.0,0.6666666666666666
30.0,43,4.0,0.0,23.0,22.0,1.0,0.0,0.9565217391304348
30.0,170,8.0,29.0,84.0,76.0,8.0,0.0,0.9047619047619048
30.0,45,0.0,0.0,1.0,0.0,1.0,1.0,0.0
30.0,48,5.0,31.0,98.0,93.0,5.0,0.0,0.9489795918367347
30.0,50,3.0,11.0,27.0,26.0,1.0,0.0,0.9629629629629629
30.0,186,0.0,53.0,155.0,155.0,0.0,0.0,1.0
30.0,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,68,3.0,5.0,51.0,48.0,3.0,0.0,0.9411764705882353
30.0,74,5.0,0.0,21.0,19.0,2.0,4.0,0.9047619047619048
30.0,75,7.0,0.0,31.0,28.0,3.0,5.0,0.9032258064516129
30.0,79,14.0,0.0,42.0,32.0,10.0,0.0,0.7619047619047619
30.0,209,1.0,0.0,2.0,0.0,2.0,1.0,0.0
30.0,211,2.0,1.0,4.0,3.0,1.0,1.0,0.75
30.0,87,3.0,0.0,16.0,12.0,4.0,1.0,0.75
30.0,88,2.0,2.0,6.0,4.0,2.0,0.0,0.6666666666666666
30.0,90,7.0,6.0,39.0,38.0,1.0,0.0,0.9743589743589743
30.0,224,5.0,5.0,14.0,10.0,4.0,0.0,0.7142857142857143
30.0,100,0.0,18.0,123.0,123.0,0.0,0.0,1.0
30.0,229,12.0,14.0,49.0,37.0,12.0,0.0,0.7551020408163265
30.0,230,0.0,18.0,36.0,36.0,0.0,0.0,1.0
30.0,231,11.0,6.0,42.0,34.0,8.0,11.0,0.8095238095238095
30.0,232,0.0,0.0,1.0,1.0,0.0,0.0,1.0
30.0,233,0.0,11.0,31.0,32.0,-1.0,0.0,1.032258064516129
30.0,234,2.0,11.0,42.0,41.0,1.0,0.0,0.9761904761904762
30.0,107,29.0,0.0,76.0,53.0,23.0,0.0,0.6973684210526315
30.0,236,22.0,31.0,99.0,90.0,9.0,0.0,0.9090909090909091
30.0,237,0.0,12.0,85.0,93.0,-8.0,0.0,1.0941176470588236
30.0,238,8.0,24.0,51.0,50.0,1.0,0.0,0.9803921568627451
30.0,239,0.0,6.0,46.0,57.0,-11.0,0.0,1.2391304347826086
30.0,113,1.0,15.0,30.0,33.0,-3.0,0.0,1.1
30.0,114,2.0,0.0,11.0,6.0,5.0,6.0,0.5454545454545454
30.0,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,116,2.0,0.0,6.0,5.0,1.0,3.0,0.8333333333333334
30.0,244,1.0,1.0,5.0,1.0,4.0,4.0,0.2
30.0,246,3.0,0.0,14.0,12.0,2.0,2.0,0.8571428571428571
30.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,249,0.0,7.0,39.0,38.0,1.0,7.0,0.9743589743589743
30.0,125,0.0,0.0,7.0,5.0,2.0,2.0,0.7142857142857143
30.0,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,4,7.0,2.0,10.0,3.0,7.0,0.0,0.3
31.0,261,2.0,0.0,6.0,3.0,3.0,4.0,0.5
31.0,262,1.0,13.0,80.0,79.0,1.0,0.0,0.9875
31.0,263,7.0,2.0,71.0,74.0,-3.0,0.0,1.0422535211267605
31.0,137,0.0,7.0,54.0,63.0,-9.0,0.0,1.1666666666666667
31.0,12,1.0,0.0,1.0,0.0,1.0,0.0,0.0
31.0,13,6.0,21.0,18.0,18.0,0.0,0.0,1.0
31.0,140,5.0,0.0,71.0,73.0,-2.0,0.0,1.028169014084507
31.0,141,9.0,17.0,73.0,64.0,9.0,0.0,0.8767123287671232
31.0,142,3.0,2.0,74.0,77.0,-3.0,0.0,1.0405405405405406
31.0,143,10.0,13.0,42.0,34.0,8.0,1.0,0.8095238095238095
31.0,144,0.0,1.0,2.0,3.0,-1.0,4.0,1.5
31.0,148,11.0,0.0,19.0,7.0,12.0,1.0,0.3684210526315789
31.0,151,3.0,9.0,29.0,26.0,3.0,0.0,0.896551724137931
31.0,24,4.0,0.0,10.0,7.0,3.0,0.0,0.7
31.0,152,1.0,0.0,7.0,3.0,4.0,5.0,0.42857142857142855
31.0,158,3.0,0.0,14.0,12.0,2.0,1.0,0.8571428571428571
31.0,161,7.0,31.0,56.0,56.0,0.0,0.0,1.0
31.0,162,1.0,9.0,96.0,102.0,-6.0,0.0,1.0625
31.0,163,14.0,0.0,38.0,31.0,7.0,0.0,0.8157894736842105
31.0,164,0.0,4.0,37.0,37.0,0.0,0.0,1.0
