,,w,u,total_demand,served,un_served_demand,denied,los
29.0,114,3.0,0.0,8.0,5.0,3.0,0.0,0.625
29.0,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,116,4.0,0.0,6.0,2.0,4.0,0.0,0.3333333333333333
29.0,244,1.0,0.0,2.0,1.0,1.0,0.0,0.5
29.0,246,4.0,0.0,11.0,5.0,6.0,2.0,0.45454545454545453
29.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,249,8.0,5.0,27.0,19.0,8.0,0.0,0.7037037037037037
29.0,125,1.0,0.0,6.0,3.0,3.0,2.0,0.5
29.0,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,4,0.0,2.0,3.0,3.0,0.0,0.0,1.0
30.0,261,1.0,0.0,8.0,6.0,2.0,2.0,0.75
30.0,262,16.0,0.0,80.0,76.0,4.0,0.0,0.95
30.0,263,13.0,4.0,74.0,65.0,9.0,0.0,0.8783783783783784
30.0,137,11.0,14.0,48.0,39.0,9.0,0.0,0.8125
30.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,13,9.0,0.0,35.0,22.0,13.0,12.0,0.6285714285714286
30.0,140,8.0,25.0,44.0,40.0,4.0,0.0,0.9090909090909091
30.0,141,0.0,2.0,86.0,89.0,-3.0,0.0,1.0348837209302326
30.0,142,6.0,18.0,66.0,68.0,-2.0,0.0,1.0303030303030303
30.0,143,6.0,0.0,42.0,35.0,7.0,1.0,0.8333333333333334
30.0,144,5.0,0.0,7.0,2.0,5.0,0.0,0.2857142857142857
30.0,148,0.0,2.0,8.0,3.0,5.0,6.0,0.375
30.0,151,0.0,6.0,24.0,22.0,2.0,7.0,0.9166666666666666
30.0,24,3.0,0.0,7.0,4.0,3.0,0.0,0.5714285714285714
30.0,152,2.0,0.0,4.0,2.0,2.0,0.0,0.5
30.0,158,3.0,0.0,16.0,13.0,3.0,0.0,0.8125
30.0,161,8.0,15.0,38.0,35.0,3.0,0.0,0.9210526315789473
30.0,162,10.0,8.0,87.0,97.0,-10.0,0.0,1.1149425287356323
30.0,163,8.0,9.0,22.0,14.0,8.0,0.0,0.6363636363636364
30.0,164,0.0,4.0,26.0,30.0,-4.0,0.0,1.1538461538461537
30.0,166,2.0,4.0,4.0,5.0,-1.0,0.0,1.25
30.0,41,3.0,0.0,12.0,10.0,2.0,4.0,0.8333333333333334
30.0,42,0.0,2.0,6.0,7.0,-1.0,0.0,1.1666666666666667
30.0,43,0.0,2.0,23.0,26.0,-3.0,0.0,1.1304347826086956
30.0,170,8.0,35.0,84.0,76.0,8.0,0.0,0.9047619047619048
30.0,45,0.0,0.0,1.0,0.0,1.0,1.0,0.0
30.0,48,5.0,36.0,98.0,93.0,5.0,0.0,0.9489795918367347
30.0,50,3.0,11.0,27.0,26.0,1.0,0.0,0.9629629629629629
30.0,186,0.0,63.0,155.0,155.0,0.0,0.0,1.0
30.0,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,68,3.0,11.0,51.0,48.0,3.0,0.0,0.9411764705882353
30.0,74,9.0,0.0,21.0,13.0,8.0,6.0,0.6190476190476191
30.0,75,8.0,0.0,31.0,16.0,15.0,16.0,0.5161290322580645
30.0,79,17.0,0.0,42.0,29.0,13.0,0.0,0.6904761904761905
30.0,209,0.0,1.0,2.0,2.0,0.0,0.0,1.0
30.0,211,2.0,3.0,4.0,4.0,0.0,0.0,1.0
30.0,87,0.0,2.0,16.0,16.0,0.0,0.0,1.0
30.0,88,4.0,0.0,6.0,2.0,4.0,0.0,0.3333333333333333
30.0,90,7.0,6.0,39.0,36.0,3.0,0.0,0.9230769230769231
30.0,224,5.0,5.0,14.0,10.0,4.0,0.0,0.7142857142857143
30.0,100,0.0,49.0,123.0,123.0,0.0,0.0,1.0
30.0,229,12.0,21.0,49.0,37.0,12.0,0.0,0.7551020408163265
30.0,230,0.0,16.0,36.0,36.0,0.0,0.0,1.0
30.0,231,19.0,0.0,42.0,23.0,19.0,13.0,0.5476190476190477
